person_in_placeContext	entity ID	placeName as written	_ - id	_ - uri
associatedPlace	000006180	Wheaton (Ill.)	TBA	
associatedPlace	000006180	Buffalo (N.Y.)	361	http://geo-kima.org/place/361
associatedPlace	000006180	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000006180	Providence (R.I.)	7741	http://geo-kima.org/place/7741
associatedPlace	000006180	New Haven (Conn.)	59	http://geo-kima.org/place/59
associatedPlace	000006723	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000007102	Worcester (Mass.)	8894	http://geo-kima.org/place/8894
associatedPlace	000008238	Regensburg (Germany)	7275	http://geo-kima.org/place/7275
associatedPlace	000008494	Mytilēnē (Lesbos Island, Greece)	15637	http://geo-kima.org/place/15637
associatedPlace	000008494	Athens (Greece)	505	http://geo-kima.org/place/505
associatedPlace	000008494	Aphrodisias (Extinct city)	3597	http://geo-kima.org/place/3597
associatedPlace	000010536	Waltham (Mass.)	8987	http://geo-kima.org/place/8987
associatedPlace	000010963	Notre Dame (Ind.)	TBA	
associatedPlace	000011549	Stagira, Greece	TBA	
associatedPlace	000013181	Barneville-la-Bertran (France)	TBA	
associatedPlace	000013468	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000016584	Ramat-Gan (Israel)	TBA	
associatedPlace	000016584	Philadelphia (Pa.)	408	http://geo-kima.org/place/408
associatedPlace	000016584	Philadelphia (Pa.)	408	http://geo-kima.org/place/408
associatedPlace	000018136	Beersheba (Israel)	699	http://geo-kima.org/place/699
associatedPlace	000018147	Aix-les-Bains (France)	13450	http://geo-kima.org/place/13450
associatedPlace	000018147	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000018199	Tel Aviv (Israel)	272	
associatedPlace	000018747	Tel Aviv (Israel)	272	
associatedPlace	000021258	Eretz Israel	2501	http://geo-kima.org/place/2501
associatedPlace	000021808	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000021808	Montpellier (France)	7467	http://geo-kima.org/place/7467
associatedPlace	000021808	Clermont-Ferrand (France)	9706	http://geo-kima.org/place/9706
associatedPlace	000022466	Chicago (Ill.)	282	http://geo-kima.org/place/282
associatedPlace	000022466	Hannover (Germany)	979	http://geo-kima.org/place/979
associatedPlace	000025449	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000028265	Montréal (Québec)	9750	http://geo-kima.org/place/9750
associatedPlace	000028433	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000028433	Washington (D.C.)	954	http://geo-kima.org/place/954
associatedPlace	000029052	Lewiston (Me.)	12521	http://geo-kima.org/place/12521
associatedPlace	000029052	Berkeley (Calif.)	583	http://geo-kima.org/place/583
associatedPlace	000030880	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000030880	São Paulo (Brazil)	TBA	
associatedPlace	000031027	California	7652	http://geo-kima.org/place/7652
associatedPlace	000031042	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000031085	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000031085	Latvia	9788	http://geo-kima.org/place/9788
associatedPlace	000031085	Lithuania	12464	http://geo-kima.org/place/12464
associatedPlace	000031085	Ridgefield (Conn.)	TBA	
associatedPlace	000031085	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000031085	Devon (England)	7248	http://geo-kima.org/place/7248
associatedPlace	000031085	Moscow (Russia)	188	http://geo-kima.org/place/188
associatedPlace	000032025	Rome	7637	http://geo-kima.org/place/7637
associatedPlace	000032470	Alexandria (Egypt)	667	http://geo-kima.org/place/667
associatedPlace	000032745	United States	6421	http://geo-kima.org/place/6421
associatedPlace	000033702	Leicester (England)	10247	http://geo-kima.org/place/10247
associatedPlace	000036100	Rome	7637	http://geo-kima.org/place/7637
associatedPlace	000040383	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000040383	g,Yvelines (France)	TBA	
associatedPlace	000042747	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000044866	N.S.	TBA	
associatedPlace	000044946	Amsterdam (Netherlands)	550	http://geo-kima.org/place/550
associatedPlace	000045429	France	6399	http://geo-kima.org/place/6399
associatedPlace	000045429	United States	6421	http://geo-kima.org/place/6421
associatedPlace	000046031	Atlanta (Ga.)	711	http://geo-kima.org/place/711
associatedPlace	000046938	g,Monte San Savino (Italy)	TBA	
associatedPlace	000046938	Florence (Italy)	411	http://geo-kima.org/place/411
associatedPlace	000048146	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000048591	Georgia	6355	http://geo-kima.org/place/6355
associatedPlace	000048894	San Diego (Calif.)	7603	http://geo-kima.org/place/7603
associatedPlace	000049423	Israel	697	http://geo-kima.org/place/697
associatedPlace	000049434	Paşcani	TBA	
associatedPlace	000049434	Cernăuți (Romania)	11252	http://geo-kima.org/place/11252
associatedPlace	000049806	Rome (Italy)	440	http://geo-kima.org/place/440
associatedPlace	000051014	Gujarat (India)	10775	http://geo-kima.org/place/10775
associatedPlace	000057012	Arlington (Va.)	7572	http://geo-kima.org/place/7572
associatedPlace	000060124	Philadelphia (Pa.)	408	http://geo-kima.org/place/408
associatedPlace	000062167	Chester (England)	9923	http://geo-kima.org/place/9923
associatedPlace	000063192	Kansas	6480	http://geo-kima.org/place/6480
associatedPlace	000065854	Jerusalem	691	
associatedPlace	000070169	Jerusalem	691	
associatedPlace	000071790	Asia, Central	1968	http://geo-kima.org/place/1968
associatedPlace	000074252	Mexico City (Mexico)	7033	http://geo-kima.org/place/7033
associatedPlace	000074252	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000074501	Israel	697	http://geo-kima.org/place/697
associatedPlace	000077894	Koret︠s︡ʹ (Ukraine)	675	http://geo-kima.org/place/675
associatedPlace	000077894	Jerusalem	691	
